url,artist,title,year
https://www.youtube.com/watch?v=lXgkuM2NhYI,David Bowie,Heroes,1977
https://www.youtube.com/watch?v=iYYRH4apXDo,David Bowie,Space Oddity,1969
https://www.youtube.com/watch?v=VbD_kBJc_gI,David Bowie,Let’s Dance,1983
https://www.youtube.com/watch?v=JRfuAukYTKg,David Guetta,Titanium,2011
https://www.youtube.com/watch?v=uO59tfQ2TbA,David Guetta,Hey Mama,2014
https://www.youtube.com/watch?v=zudbz4hOcbc,David Guetta,When Love Takes Over,2009
https://www.youtube.com/watch?v=X2XWBcd5jn0,Dawid Podsiadło,Małomiasteczkowy,2018
https://www.youtube.com/watch?v=RUz1pZ_LujU,Dean Martin,That's Amore,1953
https://www.youtube.com/watch?v=ah637P0_cts,Dean Martin,Volare,1958
https://www.youtube.com/watch?v=J76ExFgg0Vs,Dean Martin,Sway,1954
https://www.youtube.com/watch?v=Q2FzZSBD5LE,Deep Purple,Smoke on the Water,1972
https://www.youtube.com/watch?v=0HtyF0jux2Q,Denzel,Pump It Up,2004
https://www.youtube.com/watch?v=u1xrNaTO1bI,Depeche Mode,Personal Jesus,1989
https://www.youtube.com/watch?v=_6FBfAQ-NDE,Depeche Mode,Just Can’t Get Enough,2023
https://www.youtube.com/watch?v=aGSKrC7dGcY,Depeche Mode,Enjoy the Silence,1990
https://www.youtube.com/watch?v=MHRabky4Ajc,Depeche Mode (dodatkowo),Strangelove,1987
https://www.youtube.com/watch?v=Wmc8bQoL-J0,Destiny’s Child,Survivor,2001
https://www.youtube.com/watch?v=h0ffIJ7ZO4U,Dire Straits,Sultans of Swing,1978
https://www.youtube.com/watch?v=jhdFe3evXpk,Dire Straits,Brothers in Arms,1985
https://www.youtube.com/watch?v=r6y1INYz7HE,Doda,Nie daj się,2008
https://www.youtube.com/watch?v=pok8H_KF1FA,Doja Cat,Say So,2019
https://www.youtube.com/watch?v=yxW5yuzVi8w,Doja Cat,Woman,2021
https://www.youtube.com/watch?v=0EVVKs6DQLo,Doja Cat,Kiss Me More,2021
https://www.youtube.com/watch?v=PRpiBpDy7MQ,Don McLean,American Pie,1971
https://www.youtube.com/watch?v=yEbaeLv-aOo,Donna Summer,I Feel Love,1977
https://www.youtube.com/watch?v=KhcaPNuaJNU,Donna Summer,Hot Stuff,1979
https://www.youtube.com/watch?v=Bucljr7jX3I,Donna Summer,Bad Girls,1979
https://www.youtube.com/watch?v=qQmTdijhjD4,Dragon Ball Z Theme,Cha-La Head-Cha-La,1989
https://www.youtube.com/watch?v=uxpDa-c-4Mc,Drake,Hotline Bling,2015
https://www.youtube.com/watch?v=ki0Ocze98U8,Drake,One Dance,2016
https://www.youtube.com/watch?v=xpVfcZ0ZcFM,Drake,God’s Plan,2018
https://www.youtube.com/watch?v=TUVcZfQe-Kw,Dua Lipa,Levitating,2020
https://www.youtube.com/watch?v=oygrmJFKYZY,Dua Lipa,Don't Start Now,2020
https://www.youtube.com/watch?v=k2qgadSvNyU,Dua Lipa,New Rules,2016
https://www.youtube.com/watch?v=oJL-lCzEXgI,Duran Duran,Hungry Like the Wolf,1982
https://www.youtube.com/watch?v=FqIACCH20JU,Duran Duran,Ordinary World,1992
https://www.youtube.com/watch?v=zfwGiieFkKo,Dżem,Whisky,1981
https://www.youtube.com/watch?v=XWcqFbMUAb4,Dżem,Wehikuł czasu,1989
https://www.youtube.com/watch?v=dLl4PZtxia8,Eagles,Hotel California,1976
https://www.youtube.com/watch?v=Gs069dndIYk,"Earth, Wind & Fire",September,1978
https://www.youtube.com/watch?v=yPPRLEZ6BBc,EastWest Rockers,Dotknąć Cię,2006
https://www.youtube.com/watch?v=JGwWNGJdvx8,Ed Sheeran,Shape of You,2017
https://www.youtube.com/watch?v=2Vv-BfVoq4g,Ed Sheeran,Perfect,2017
https://www.youtube.com/watch?v=lp-EO5I60KA,Ed Sheeran,Thinking Out Loud,2014
https://www.youtube.com/watch?v=sVAZjaAJufE,Edyta Bartosiewicz,Sen,1994
https://www.youtube.com/watch?v=mK3rv4aeEoA,Edyta Bartosiewicz,Ostatni,1995
https://www.youtube.com/watch?v=PL5rmmpiHp8,Edyta Górniak,To nie ja,1994
https://www.youtube.com/watch?v=UityBuZoXv0,Edyta Górniak,Kolorowy wiatr,2004
https://www.youtube.com/watch?v=wcXAKhwsl6o,"Edyta Górniak, Mietek Szcześniak",Dumka na dwa serca (Ogniem i mieczem),1999
https://www.youtube.com/watch?v=2f3kDUTOGT0,Elektryczne gitary,Bulionerzy,2004
https://www.youtube.com/watch?v=OAVZuSoP8dk,Ella Fitzgerald,Dream a Little Dream of Me,1950
https://www.youtube.com/watch?v=1P0tofE5eFc,Ella Fitzgerald,Autumn in New York,1957
https://www.youtube.com/watch?v=9kh4ffPyj-g,Ella Fitzgerald,Someone to Watch Over Me,1950
https://www.youtube.com/watch?v=DtVBCG6ThDk,Elton John,Rocket Man,1972
https://www.youtube.com/watch?v=yYcyacLRPNs,Elton John,Tiny Dancer,1972
https://www.youtube.com/watch?v=GlPlfCy1urI,Elton John,Your Song,1970
https://www.youtube.com/watch?v=vGJTaP6anOU,Elvis Presley,Can't Help Falling in Love,1970
https://www.youtube.com/watch?v=HeXnFx7aPOE,Elvis Presley,Blue Suede Shoes,1956
https://www.youtube.com/watch?v=aNYWl13IWhY,Elvis Presley,Hound Dog,1956
https://www.youtube.com/watch?v=-9dtQzg7gDM,Elvis Presley,Love Me Tender,1956
https://www.youtube.com/watch?v=j5-yKhDd64s,Eminem,I'm Not Afraid,2010
https://www.youtube.com/watch?v=eJO5HU_7_1w,Eminem,The Real Slim Shady,2000
https://www.youtube.com/watch?v=YVkUvmDQ3HY,Eminem,Without Me,2002
https://www.youtube.com/watch?v=XbGs_qK2PQA,Eminem,Rap God,2013
https://www.youtube.com/watch?v=j5-yKhDd64s,Eminem,Not Afraid,2010
https://www.youtube.com/watch?v=xFYQQPAOz7Y,Eminem,Lose Yourself,2002
https://www.youtube.com/watch?v=vBj5P71Mci4,Enej,Kamień z napisem LOVE,2015
https://www.youtube.com/watch?v=4KoBxFSUseg,Enej,Radio Hello,2010
https://www.youtube.com/watch?v=6xUnSVTh8fI,ERA,Ameno,1996
https://www.youtube.com/watch?v=UprwkbzUX6g,Eric Clapton,Wonderful Tonight,1977
https://www.youtube.com/watch?v=2xlKRtF9FkE,Eugeniusz Bodo,Umówiłem się z nią na dziewiątą,1937
https://www.youtube.com/watch?v=qeMFqkcPYcg,Eurythmics,Sweet Dreams (Are Made of This),1983
https://www.youtube.com/watch?v=TzFnYcIqj6I,Eurythmics,Here Comes the Rain Again,1983
https://www.youtube.com/watch?v=ruAi4VBoBSM,Fatboy Slim,Praise You,1998
https://www.youtube.com/watch?v=bQQCPrwKzdo,Fats Domino,Blueberry Hill,1956
https://www.youtube.com/watch?v=_d-bEM88LlM,Feel,Jak anioła głos,2008
https://www.youtube.com/watch?v=7vKpv-z1ut4,Feel,A gdy jest już ciemno,2007
https://www.youtube.com/watch?v=DrQRS40OKNE,Fleet Foxes,White Winter Hymnal,2008
https://www.youtube.com/watch?v=7HHgedNNQco,Fleet Foxes,Helplessness Blues,2010
https://www.youtube.com/watch?v=Y3ywicffOj4,Fleetwood Mac,Dreams,1977
https://www.youtube.com/watch?v=kBYHwH1Vb-c,Fleetwood Mac,The Chain,1977
https://www.youtube.com/watch?v=ozl3L9fhKtE,Fleetwood Mac,Go Your Own Way,1976
https://www.youtube.com/watch?v=iWOyfLBYtuU,Florence + The Machine,Dog Days Are Over,2008
https://www.youtube.com/watch?v=WbN0nX61rIs,Florence + The Machine,Shake It Out,2011
https://www.youtube.com/watch?v=PQZhN65vq9E,Florence + The Machine,You’ve Got the Love,2009
https://www.youtube.com/watch?v=qQzdAsjWGPg,Frank Sinatra,My Way,1968
https://www.youtube.com/watch?v=Sek1vLw3s20,Frank Sinatra,Strangers in the Night,1966
https://www.youtube.com/watch?v=UCENTf_LWYA,Frank Sinatra,That's Life,1966
https://www.youtube.com/watch?v=TK0Vdb1RUCk,Frank Sinatra,"New York, New York",1980
https://www.youtube.com/watch?v=Ijk4j-r7qPA,Franz Ferdinand,Take Me Out,2003
https://www.youtube.com/watch?v=G4FluV0hFgc,Gabriel Fleszar,Kroplą deszczu,1999
https://www.youtube.com/watch?v=KUXGVfmrEN4,Garou,Belle,1997
https://www.youtube.com/watch?v=6wB7k9SopIA,Garou,Gitan,2000
https://www.youtube.com/watch?v=35K6vQRt67g,Genesis,Jesus he knows me,1991
https://www.youtube.com/watch?v=6Cs3Pvmmv0E,George Michael,Faith,1987
https://www.youtube.com/watch?v=izGwDsrQ1eQ,George Michael,Careless Whisper,1984
https://www.youtube.com/watch?v=ixdsZtRWO30,Gibbs,Zawsze chciałem,2023
https://www.youtube.com/watch?v=efQJmUr4wAM,Gibbs,Stan,2023
https://www.youtube.com/watch?v=mRD0-GxqHVo,Glass Animals,Heat Waves,2020
https://www.youtube.com/watch?v=IIA1XQnAv5s,Glass Animals,Gooey,2014
https://www.youtube.com/watch?v=_CI-0E_jses,Glenn Miller,In the Mood,1939
https://www.youtube.com/watch?v=V2aj0zhXlLA,Glenn Miller,Chattanooga Choo Choo,1941
https://www.youtube.com/watch?v=6dYWe1c3OyU,Gloria Gaynor,I Will Survive,1978
https://www.youtube.com/watch?v=ofcgjeELS0M,Gloria Gaynor,Never Can Say Goodbye,1974
https://www.youtube.com/watch?v=yrJ_lzYGJdg,Golec uOrkiestra,Ściernisko,2004
https://www.youtube.com/watch?v=8KDPgNTtaXc,Golec uOrkiestra,Lornetka (serial),1999
https://www.youtube.com/watch?v=HyHNuVaZJ-k,Gorillaz,Feel Good Inc.,2005
https://www.youtube.com/watch?v=1V_xRb0x9aw,Gorillaz,Clint Eastwood,2000
https://www.youtube.com/watch?v=vZjAam9UOqE,Gosia Andrzejewicz,Pozwól żyć,2006
https://www.youtube.com/watch?v=jZBP_cq5asU,Gosia Andrzejewicz,Słowa,2004
https://www.youtube.com/watch?v=NrA7kZmbtcE,Gosia Andrzejewicz,Lustro,2006
https://www.youtube.com/watch?v=Ee_uujKuJMI,Green Day,American Idiot,2004
https://www.youtube.com/watch?v=i8dh9gDzmz8,Green Day,When I Come Around,1993
https://www.youtube.com/watch?v=Soa3gO7tL-c,Green Day,Boulevard of Broken Dreams,2004
https://www.youtube.com/watch?v=NU9JoFKlaZ0,Green Day,Wake me up when september ends,2004
https://www.youtube.com/watch?v=6BnT_wkuMBA,GrubSon,Na szczycie,2009
https://www.youtube.com/watch?v=xsSMJfxIZqg,Grzegorz Ciechowski,Moja krew,2004
https://www.youtube.com/watch?v=FJtjklvHuIM,Grzegorz Markowski,W labiryncie,1988
https://www.youtube.com/watch?v=vhuW6Pvwj4I,Grzegorz Turnau,Bracka,1995
https://www.youtube.com/watch?v=-qJkAosmEZM,Grzegorz Turnau,Naprawdę nie dzieje się nic,1991
https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses,Sweet Child O' Mine,1988
https://www.youtube.com/watch?v=8SbUC-UaAxE,Guns N' Roses,November Rain,1992
https://www.youtube.com/watch?v=Gere_K02mGE,Hanka Ordonówna,Miłość Ci wszystko wybaczy,1933
https://www.youtube.com/watch?v=rv5H8OkcJn4,Hanka Ordonówna,Szczęście raz się uśmiecha,1962
https://www.youtube.com/watch?v=W1jIuwYGIrU,Happysad,Zanim pójdę,2004
https://www.youtube.com/watch?v=938DIpI4SAo,Happysad,W piwnicy u dziadka,2008
